using device: mps
Total Parameters: 30,142,848
Trainable Parameters: 30,142,848
Model Size: 114.99 MB

Size by component:
transformer: 114.99 MB
loaded 338025 tokens
1 epoch = 82 batches
Training for 20000 steps
step 1470, loss: 4.0570, avg_loss: 4.2031, best_loss: 3.7960, lr: 1.71e-04, time/batch: 1.023s
step 1480, loss: 4.1392, avg_loss: 4.1865, best_loss: 3.7312, lr: 1.72e-04, time/batch: 1.014s
step 1490, loss: 4.0746, avg_loss: 4.1826, best_loss: 3.7312, lr: 1.73e-04, time/batch: 1.018s
step 1500, loss: 4.3301, avg_loss: 4.1586, best_loss: 3.7169, lr: 1.74e-04, time/batch: 1.019s
step 1510, loss: 4.3029, avg_loss: 4.1633, best_loss: 3.7169, lr: 1.75e-04, time/batch: 1.024s
step 1520, loss: 4.3196, avg_loss: 4.1550, best_loss: 3.7169, lr: 1.76e-04, time/batch: 1.033s
step 1530, loss: 4.2488, avg_loss: 4.1415, best_loss: 3.7169, lr: 1.77e-04, time/batch: 1.023s
step 1540, loss: 3.9113, avg_loss: 4.1534, best_loss: 3.7169, lr: 1.78e-04, time/batch: 1.029s
step 1550, loss: 3.8516, avg_loss: 4.1239, best_loss: 3.7169, lr: 1.79e-04, time/batch: 1.030s
step 1560, loss: 4.2486, avg_loss: 4.0987, best_loss: 3.6452, lr: 1.80e-04, time/batch: 1.027s
step 1570, loss: 3.9776, avg_loss: 4.0922, best_loss: 3.6452, lr: 1.80e-04, time/batch: 1.030s
step 1580, loss: 4.2083, avg_loss: 4.0681, best_loss: 3.6441, lr: 1.81e-04, time/batch: 1.031s
step 1590, loss: 4.0726, avg_loss: 4.0758, best_loss: 3.6441, lr: 1.82e-04, time/batch: 1.029s
step 1600, loss: 3.8876, avg_loss: 4.0765, best_loss: 3.6441, lr: 1.83e-04, time/batch: 1.029s
step 1610, loss: 4.3706, avg_loss: 4.0567, best_loss: 3.6441, lr: 1.84e-04, time/batch: 1.030s
step 1620, loss: 4.0749, avg_loss: 4.0744, best_loss: 3.6441, lr: 1.85e-04, time/batch: 1.023s
step 1630, loss: 4.0001, avg_loss: 4.0579, best_loss: 3.6441, lr: 1.85e-04, time/batch: 1.028s
